cluster_id	longitude	latitude
0	142920.080808	219791.939394
1	145494.630872	219015.731544
2	143614.528926	218403.768595
3	143632.683673	220720.704082
4	140731.942308	218616.153846
5	144647.168831	218050.025974
6	144268.620000	219856.810000
7	142277.108949	220325.284047
8	142861.931818	221347.295455
9	141756.518519	219830.277778
10	143681.536082	219225.092784
11	144288.879518	218720.632530
12	141343.824742	219362.896907
13	143131.280000	218809.020000
14	144021.118110	220369.263780
15	143693.781250	220021.593750
16	144739.034247	219805.253425
17	142502.026087	220631.382609
18	143232.809524	221078.632653
19	143246.720497	219578.043478
20	144555.379518	219919.030120
21	141292.357143	220154.952381
22	145093.696970	218540.111111
23	144409.878049	217841.384146
24	142591.456522	221593.130435
25	141567.443478	219604.991304
26	145346.217391	219306.156522
27	144059.384106	218900.596026
28	140857.250000	218846.091667
29	143983.341667	218122.633333
30	144530.704545	218516.306818
31	143826.090000	220584.375000
32	143854.521739	219070.311594
33	141081.193878	219077.663265
34	145016.297468	219560.177215
35	143386.136752	218590.299145
36	144796.158940	218276.807947
37	141488.954545	219993.181818
38	145685.404255	219184.957447
39	143530.261538	219793.630769
40	143552.764706	220200.361345
41	144261.162304	220187.298429
42	143514.504854	219358.398058
43	142072.439560	220127.032967
44	142632.330097	220019.932039
45	143670.795181	220408.313253
46	142737.807692	220894.971154
47	143440.175182	220903.729927
48	143042.165138	221187.325688
49	142725.290323	221470.080645
